A,E,D,FI
0.0,0.0,0.0,0.75
0.0,0.0,10.0,0.8
0.0,0.0,25.0,0.875
0.0,0.0,50.0,1.0
0.0,0.0,75.0,1.0
0.0,2.0,0.0,0.5657894736842105
0.0,2.0,10.0,0.6157894736842106
0.0,2.0,25.0,0.6907894736842105
0.0,2.0,50.0,0.8157894736842105
0.0,2.0,75.0,0.8157894736842105
0.0,3.8,0.0,0.4
0.0,3.8,10.0,0.45
0.0,3.8,25.0,0.525
0.0,3.8,50.0,0.65
0.0,3.8,75.0,0.65
0.0,4.4,0.0,0.4
0.0,4.4,10.0,0.45
0.0,4.4,25.0,0.525
0.0,4.4,50.0,0.65
0.0,4.4,75.0,0.65
0.0,5.0,0.0,0.4
0.0,5.0,10.0,0.45
0.0,5.0,25.0,0.525
0.0,5.0,50.0,0.65
0.0,5.0,75.0,0.65
0.0,7.5,0.0,0.575
0.0,7.5,10.0,0.625
0.0,7.5,25.0,0.7
0.0,7.5,50.0,0.825
0.0,7.5,75.0,0.825
0.25,0.0,0.0,0.65
0.25,0.0,10.0,0.7000000000000001
0.25,0.0,25.0,0.775
0.25,0.0,50.0,0.9
0.25,0.0,75.0,0.9
0.25,2.0,0.0,0.46578947368421053
0.25,2.0,10.0,0.5157894736842106
0.25,2.0,25.0,0.5907894736842105
0.25,2.0,50.0,0.7157894736842105
0.25,2.0,75.0,0.7157894736842105
0.25,3.8,0.0,0.30000000000000004
0.25,3.8,10.0,0.35000000000000003
0.25,3.8,25.0,0.42500000000000004
0.25,3.8,50.0,0.55
0.25,3.8,75.0,0.55
0.25,4.4,0.0,0.30000000000000004
0.25,4.4,10.0,0.35000000000000003
0.25,4.4,25.0,0.42500000000000004
0.25,4.4,50.0,0.55
0.25,4.4,75.0,0.55
0.25,5.0,0.0,0.30000000000000004
0.25,5.0,10.0,0.35000000000000003
0.25,5.0,25.0,0.42500000000000004
0.25,5.0,50.0,0.55
0.25,5.0,75.0,0.55
0.25,7.5,0.0,0.47500000000000003
0.25,7.5,10.0,0.525
0.25,7.5,25.0,0.6000000000000001
0.25,7.5,50.0,0.7250000000000001
0.25,7.5,75.0,0.7250000000000001
0.5,0.0,0.0,0.55
0.5,0.0,10.0,0.6000000000000001
0.5,0.0,25.0,0.675
0.5,0.0,50.0,0.8
0.5,0.0,75.0,0.8
0.5,2.0,0.0,0.36578947368421055
0.5,2.0,10.0,0.41578947368421054
0.5,2.0,25.0,0.49078947368421055
0.5,2.0,50.0,0.6157894736842106
0.5,2.0,75.0,0.6157894736842106
0.5,3.8,0.0,0.2
0.5,3.8,10.0,0.25
0.5,3.8,25.0,0.325
0.5,3.8,50.0,0.45
0.5,3.8,75.0,0.45
0.5,4.4,0.0,0.2
0.5,4.4,10.0,0.25
0.5,4.4,25.0,0.325
0.5,4.4,50.0,0.45
0.5,4.4,75.0,0.45
0.5,5.0,0.0,0.2
0.5,5.0,10.0,0.25
0.5,5.0,25.0,0.325
0.5,5.0,50.0,0.45
0.5,5.0,75.0,0.45
0.5,7.5,0.0,0.375
0.5,7.5,10.0,0.425
0.5,7.5,25.0,0.5
0.5,7.5,50.0,0.625
0.5,7.5,75.0,0.625
0.75,0.0,0.0,0.44999999999999996
0.75,0.0,10.0,0.49999999999999994
0.75,0.0,25.0,0.575
0.75,0.0,50.0,0.7
0.75,0.0,75.0,0.7
0.75,2.0,0.0,0.2657894736842105
0.75,2.0,10.0,0.3157894736842105
0.75,2.0,25.0,0.3907894736842105
0.75,2.0,50.0,0.5157894736842106
0.75,2.0,75.0,0.5157894736842106
0.75,3.8,0.0,0.1
0.75,3.8,10.0,0.15000000000000002
0.75,3.8,25.0,0.225
0.75,3.8,50.0,0.35
0.75,3.8,75.0,0.35
0.75,4.4,0.0,0.1
0.75,4.4,10.0,0.15000000000000002
0.75,4.4,25.0,0.225
0.75,4.4,50.0,0.35
0.75,4.4,75.0,0.35
0.75,5.0,0.0,0.1
0.75,5.0,10.0,0.15000000000000002
0.75,5.0,25.0,0.225
0.75,5.0,50.0,0.35
0.75,5.0,75.0,0.35
0.75,7.5,0.0,0.275
0.75,7.5,10.0,0.325
0.75,7.5,25.0,0.4
0.75,7.5,50.0,0.525
0.75,7.5,75.0,0.525
1.0,0.0,0.0,0.35
1.0,0.0,10.0,0.39999999999999997
1.0,0.0,25.0,0.475
1.0,0.0,50.0,0.6
1.0,0.0,75.0,0.6
1.0,2.0,0.0,0.16578947368421051
1.0,2.0,10.0,0.21578947368421053
1.0,2.0,25.0,0.2907894736842105
1.0,2.0,50.0,0.4157894736842105
1.0,2.0,75.0,0.4157894736842105
1.0,3.8,0.0,0.0
1.0,3.8,10.0,0.05
1.0,3.8,25.0,0.125
1.0,3.8,50.0,0.25
1.0,3.8,75.0,0.25
1.0,4.4,0.0,0.0
1.0,4.4,10.0,0.05
1.0,4.4,25.0,0.125
1.0,4.4,50.0,0.25
1.0,4.4,75.0,0.25
1.0,5.0,0.0,0.0
1.0,5.0,10.0,0.05
1.0,5.0,25.0,0.125
1.0,5.0,50.0,0.25
1.0,5.0,75.0,0.25
1.0,7.5,0.0,0.175
1.0,7.5,10.0,0.22499999999999998
1.0,7.5,25.0,0.3
1.0,7.5,50.0,0.425
1.0,7.5,75.0,0.425
