d,m,r,epsilon,vocab,threshold,n,tokens_above_first,fraction_cap,ratio_to_previous_n,below_one,decision
2,1,1.0,0.5,4,2.321928094887362,2,-1,1.5624999999999998,0.25,False,control_near_threshold
2,1,1.0,0.5,4,2.321928094887362,3,0,0.39062500000000006,0.25,True,supports_decay
2,1,1.0,0.5,4,2.321928094887362,4,1,0.09765625,0.25,True,supports_decay
2,1,1.0,0.5,4,2.321928094887362,5,2,0.024414062499999997,0.25,True,supports_decay
2,1,1.0,0.5,4,2.321928094887362,6,3,0.006103515625000006,0.25,True,supports_decay
2,3,1.0,0.5,4,6.965784284662087,6,-1,3.814697265624999,0.25,False,control_near_threshold
2,3,1.0,0.5,4,6.965784284662087,7,0,0.9536743164062496,0.25,True,supports_decay
2,3,1.0,0.5,4,6.965784284662087,8,1,0.23841857910156236,0.25,True,supports_decay
2,3,1.0,0.5,4,6.965784284662087,9,2,0.059604644775390576,0.25,True,supports_decay
2,3,1.0,0.5,4,6.965784284662087,10,3,0.014901161193847642,0.25,True,supports_decay
4,2,1.0,0.25,16,6.339850002884625,6,-1,2.5657845139503554,0.0625,False,control_near_threshold
4,2,1.0,0.25,16,6.339850002884625,7,0,0.16036153212189716,0.0625,True,supports_decay
4,2,1.0,0.25,16,6.339850002884625,8,1,0.010022595757618569,0.0625,True,supports_decay
4,2,1.0,0.25,16,6.339850002884625,9,2,0.0006264122348511603,0.0625,True,supports_decay
4,2,1.0,0.25,16,6.339850002884625,10,3,3.915076467819751e-05,0.0625,True,supports_decay
8,5,2.0,0.5,64,21.132833342948754,21,-1,1.7374844397822184,0.015625,False,control_near_threshold
8,5,2.0,0.5,64,21.132833342948754,22,0,0.027148194371597243,0.015625,True,supports_decay
8,5,2.0,0.5,64,21.132833342948754,23,1,0.0004241905370562082,0.015625,True,supports_decay
8,5,2.0,0.5,64,21.132833342948754,24,2,6.627977141503274e-06,0.015625,True,supports_decay
8,5,2.0,0.5,64,21.132833342948754,25,3,1.0356214283598749e-07,0.015625,True,supports_decay
16,3,1.0,0.5,128,15.921792650656197,15,-1,87.58115402030064,0.0078125,False,control_near_threshold
16,3,1.0,0.5,128,15.921792650656197,16,0,0.6842277657835996,0.0078125,True,supports_decay
16,3,1.0,0.5,128,15.921792650656197,17,1,0.005345529420184378,0.0078125,True,supports_decay
16,3,1.0,0.5,128,15.921792650656197,18,2,4.1761948595190505e-05,0.0078125,True,supports_decay
16,3,1.0,0.5,128,15.921792650656197,19,3,3.262652233999262e-07,0.0078125,True,supports_decay
