d,r,epsilon,vocab,q,prompt_length_m,threshold_N,n,fraction_cap,one_token_decay_ratio,decision
1,1.0,0.5,4,1,not_in_formula,16.940804110993465,17,0.9212139875188985,0.25,supports_prompt_independent_decay
1,1.0,0.5,4,1,not_in_formula,16.940804110993465,18,0.2303034968797246,0.25,supports_prompt_independent_decay
1,1.0,0.5,4,1,not_in_formula,16.940804110993465,19,0.057575874219931135,0.25,supports_prompt_independent_decay
1,1.0,0.5,4,1,not_in_formula,16.940804110993465,20,0.014393968554982782,0.25,supports_prompt_independent_decay
1,1.0,0.5,4,1,not_in_formula,16.940804110993465,21,0.0035984921387456946,0.25,supports_prompt_independent_decay
2,1.0,0.5,8,1,not_in_formula,101.64482466596081,102,0.4777984232192811,0.125,supports_prompt_independent_decay
2,1.0,0.5,8,1,not_in_formula,101.64482466596081,103,0.05972480290240981,0.125,supports_prompt_independent_decay
2,1.0,0.5,8,1,not_in_formula,101.64482466596081,104,0.007465600362801184,0.125,supports_prompt_independent_decay
2,1.0,0.5,8,1,not_in_formula,101.64482466596081,105,0.0009332000453501428,0.125,supports_prompt_independent_decay
2,1.0,0.5,8,1,not_in_formula,101.64482466596081,106,0.00011665000566877051,0.125,supports_prompt_independent_decay
2,1.5,0.5,16,2,not_in_formula,281.0532701753818,282,0.07244754945432,0.0625,supports_prompt_independent_decay
2,1.5,0.5,16,2,not_in_formula,281.0532701753818,283,0.004527971840894966,0.0625,supports_prompt_independent_decay
2,1.5,0.5,16,2,not_in_formula,281.0532701753818,284,0.00028299824005593326,0.0625,supports_prompt_independent_decay
2,1.5,0.5,16,2,not_in_formula,281.0532701753818,285,1.7687390003495697e-05,0.0625,supports_prompt_independent_decay
2,1.5,0.5,16,2,not_in_formula,281.0532701753818,286,1.1054618752184728e-06,0.0625,supports_prompt_independent_decay
3,1.0,0.75,32,2,not_in_formula,226.73286185127864,227,0.3962023263690458,0.03125,supports_prompt_independent_decay
3,1.0,0.75,32,2,not_in_formula,226.73286185127864,228,0.012381322699033269,0.03125,supports_prompt_independent_decay
3,1.0,0.75,32,2,not_in_formula,226.73286185127864,229,0.00038691633434476407,0.03125,supports_prompt_independent_decay
3,1.0,0.75,32,2,not_in_formula,226.73286185127864,230,1.2091135448274451e-05,0.03125,supports_prompt_independent_decay
3,1.0,0.75,32,2,not_in_formula,226.73286185127864,231,3.778479827585516e-07,0.03125,supports_prompt_independent_decay
