K,N,audit,condition,lambda_fk,rank
8,64,sine_operator,4096.000000000001,0.0,
8,64,sine_operator_fk,4054.3879908149415,1.0,
8,64,sine_operator_fk,2021.6274477781449,100.0,
11,128,sine_operator,14641.000000000013,0.0,
11,128,sine_operator_fk,14492.233256539883,1.0,
11,128,sine_operator_fk,7224.928164950443,100.0,
16,256,sine_operator,65535.999999999935,0.0,
16,256,sine_operator_fk,64870.05542809701,1.0,
16,256,sine_operator_fk,32338.440730193062,100.0,
23,512,sine_operator,279841.00000000023,0.0,
23,512,sine_operator_fk,276997.3602807458,1.0,
23,512,sine_operator_fk,138084.61049724926,100.0,
32,1024,sine_operator,1048576.0,0.0,
32,1024,sine_operator_fk,1037920.7344246104,1.0,
32,1024,sine_operator_fk,517407.45324883185,100.0,
10,64,neural_gn_pinn,180199410.62976575,0.0,8
10,64,neural_gn_fk,1077779501.227462,1.0,8
10,128,neural_gn_pinn,2374469994.5408974,0.0,9
10,128,neural_gn_fk,226701222.7271247,1.0,8
10,256,neural_gn_pinn,707082287.8946862,0.0,9
10,256,neural_gn_fk,3566378618.1349144,1.0,9
