K,N,audit,condition,epsilon,lambda_fk,predicted_gd_iters,rank
8,64,sine_operator,4096.000000000001,0.001,0.0,28291,
8,64,sine_operator_fk,4054.3879908149415,0.001,1.0,28004,
8,64,sine_operator_fk,2021.6274477781449,0.001,100.0,13962,
11,128,sine_operator,14641.000000000013,0.001,0.0,101133,
11,128,sine_operator_fk,14492.233256539883,0.001,1.0,100106,
11,128,sine_operator_fk,7224.928164950443,0.001,100.0,49905,
16,256,sine_operator,65535.999999999935,0.001,0.0,452704,
16,256,sine_operator_fk,64870.05542809701,0.001,1.0,448104,
16,256,sine_operator_fk,32338.440730193062,0.001,100.0,223383,
23,512,sine_operator,279841.00000000023,0.001,0.0,1933070,
23,512,sine_operator_fk,276997.3602807458,0.001,1.0,1913427,
23,512,sine_operator_fk,138084.61049724926,0.001,100.0,953852,
32,1024,sine_operator,1048576.0,0.001,0.0,7243303,
32,1024,sine_operator_fk,1037920.7344246104,0.001,1.0,7169699,
32,1024,sine_operator_fk,517407.45324883185,0.001,100.0,3574121,
10,64,neural_gn_pinn,180199410.62976575,0.001,0.0,1244773428,8
10,64,neural_gn_fk,1077779501.227462,0.001,1.0,7445036877,8
10,128,neural_gn_pinn,2374469994.5408974,0.001,0.0,16402259688,9
10,128,neural_gn_fk,226701222.7271247,0.001,1.0,1565996548,8
10,256,neural_gn_pinn,707082287.8946862,0.001,0.0,4884351248,9
10,256,neural_gn_fk,3566378618.1349144,0.001,1.0,24635670121,9
