centered_mean,centered_std,dt,exp_moment_abs_5,mean_abs_bias,n_mc,noise_dt,problem,rmse,sample_n,scaled_by_sqrt_dt,tail_log_slope_t,tail_log_slope_t2
,,0.01,,0.06538823529411775,900,,met,0.06593765502378988,,0.6538823529411775,,
,,0.005,,0.04327777777777784,900,,met,0.04433581835713925,,0.6120402028270236,,
,,0.0025,,0.03203006535947672,900,,met,0.032844584308673465,,0.6406013071895345,,
,,0.00125,,0.01963169934640393,900,,met,0.021120189966027946,,0.5552683093623092,,
-3.571217395877587e-17,0.23058733180871546,,9.812827748514023,,,0.0025,met,,1800,,-7.790027964208311,-12.421848498430721
,,0.01,,0.025769435128534832,900,,committor,0.03008740093562741,,0.2576943512853483,,
,,0.005,,0.025763621618513755,900,,committor,0.02831473146204944,,0.3643526310875082,,
,,0.0025,,0.016274509803921568,900,,committor,0.01912577336924385,,0.3254901960784313,,
,,0.00125,,0.013986928104575176,900,,committor,0.018153705076054873,,0.39561006842855245,,
-3.6020569243393966e-17,0.4998622528697146,,12.176483968232908,,,0.0025,committor,,1800,,,
