N_FK,calibrated_bound,measured_over_bound,problem,rel_l2,width
32,0.26732468605041504,1.0,poisson,0.26732468605041504,64
64,0.2583956697750518,1.099582261825794,poisson,0.28412729501724243,70
128,0.2502077257487034,0.5942971322493622,poisson,0.14869773387908936,76
256,0.24269934797100842,0.6992728511510613,poisson,0.1697130650281906,83
512,0.235814135190954,0.7426474289008685,poisson,0.17512676119804382,91
32,0.43194219470024114,0.9999999999999999,met,0.4319421947002411,64
64,0.4175147247068145,0.8946814191943753,met,0.3735426664352417,70
128,0.40428467638962823,0.9725613127857851,met,0.3931916356086731,76
256,0.3921526685909752,0.6951109752931139,met,0.27258962392807007,83
512,0.38102756838741986,0.7433116440558359,met,0.2832222282886505,91
