method,problem,rel_l2,seed
pinn,schrodinger,5.627796173095703,0
fk,schrodinger,4.711375713348389,0
pinn,schrodinger,4.691019535064697,1
fk,schrodinger,4.995697021484375,1
pinn,schrodinger,4.459949493408203,2
fk,schrodinger,5.433526992797852,2
pinn,met,0.5335941910743713,0
fk,met,0.31877949833869934,0
pinn,met,0.3819962441921234,1
fk,met,0.27001097798347473,1
pinn,met,0.5693454146385193,2
fk,met,0.27277806401252747,2
pinn,committor,0.03174928203225136,0
fk,committor,0.03313402086496353,0
pinn,committor,0.0011696560541167855,1
fk,committor,0.006430819630622864,1
pinn,committor,0.0011601645965129137,2
fk,committor,0.015939148142933846,2
