N,kappa_pl_proxy,method,problem,rate,saturated_probe,seed
500,541.9065411512017,pinn,poisson,0.001845336647672946,False,0
500,325.1287199935967,fk,poisson,0.0030757049085657355,False,0
500,190.50482873594694,pinn,poisson,0.005249210776625878,False,1
500,423.8942375762309,fk,poisson,0.0023590790139490047,False,1
1000,552.5054807548223,pinn,poisson,0.001809936796706196,False,0
1000,575.9259226682965,fk,poisson,0.0017363344149659821,False,0
1000,2501.498773705006,pinn,poisson,0.00039976033988571,False,1
1000,440.5209433165325,fk,poisson,0.0022700396318761596,False,1
2000,1083.8644686130053,pinn,poisson,0.0009226245798791388,False,0
2000,1000000000000.0,fk,poisson,0.0,True,0
2000,515.4313284968812,pinn,poisson,0.0019401226598240251,False,1
2000,240.43049985277932,fk,poisson,0.004159206093288169,False,1
4000,828.8606578825312,pinn,poisson,0.0012064754075246785,False,0
4000,608.7194559122413,fk,poisson,0.0016427928995654927,False,0
4000,792.3617652953241,pinn,poisson,0.001262049790637344,False,1
4000,519.8359334249548,fk,poisson,0.0019236838696614713,False,1
8000,361.02597764752954,pinn,poisson,0.0027698837809845976,False,0
8000,745.0904223734922,fk,poisson,0.0013421189831087765,False,0
8000,1000000000000.0,pinn,poisson,0.0,True,1
8000,1583.2517083191497,fk,poisson,0.0006316115086094834,False,1
500,500.8934815714521,pinn,met,0.0019964324487967023,False,0
500,3828.5960878265364,fk,met,0.0002611923475499585,False,0
500,33818.1504390604,pinn,met,2.9569919910374137e-05,False,1
500,37642.815366764764,fk,met,2.656549437805628e-05,False,1
1000,3281.096508574215,pinn,met,0.0003047761616846026,False,0
1000,864.5320513760776,fk,met,0.001156695114320282,False,0
1000,1318.7610599538516,pinn,met,0.000758287479336851,False,1
1000,2769.8878744907115,fk,met,0.0003610254441017278,False,1
2000,2717.977204069784,pinn,met,0.0003679206722200033,False,0
2000,2794.4460105333333,fk,met,0.000357852682152605,False,0
2000,179.8586872054026,pinn,met,0.005559920488344152,False,1
2000,1507.1549449218717,fk,met,0.000663501787503234,False,1
4000,136.6135847105239,pinn,met,0.007319916259564822,False,0
4000,3147.1745680772683,fk,met,0.00031774532310450737,False,0
4000,14748.69081863579,pinn,met,6.780262819913781e-05,False,1
4000,7803.911655919622,fk,met,0.00012814086628485275,False,1
8000,3928.856660092838,pinn,met,0.0002545269747704082,False,0
8000,931.1309112176363,fk,met,0.0010739628423379307,False,0
8000,5268.622772383694,pinn,met,0.00018980292254773974,False,1
8000,1252.33682160747,fk,met,0.0007985072248505986,False,1
