N,kappa_pl_proxy_mean,kappa_pl_proxy_median,kappa_pl_proxy_std,method,n,problem
500,20735.70572729565,20735.70572729565,16907.109639469116,fk,2,met
500,17159.521960315928,17159.521960315928,16658.628478744475,pinn,2,met
1000,1817.2099629333945,1817.2099629333945,952.677911557317,fk,2,met
1000,2299.9287842640333,2299.9287842640333,981.1677243101817,pinn,2,met
2000,2150.8004777276024,2150.8004777276024,643.6455328057308,fk,2,met
2000,1448.9179456375932,1448.9179456375932,1269.0592584321907,pinn,2,met
4000,5475.543111998445,5475.543111998445,2328.3685439211768,fk,2,met
4000,7442.652201673157,7442.652201673157,7306.038616962633,pinn,2,met
8000,1091.7338664125532,1091.7338664125532,160.6029551949169,fk,2,met
8000,4598.739716238266,4598.739716238266,669.8830561454279,pinn,2,met
500,374.51147878491383,374.51147878491383,49.382758791317116,fk,2,poisson
500,366.20568494357434,366.20568494357434,175.7008562076274,pinn,2,poisson
1000,508.2234329924145,508.2234329924145,67.70248967588199,fk,2,poisson
1000,1527.002127229914,1527.002127229914,974.4966464750918,pinn,2,poisson
2000,240.43049985277932,240.43049985277932,0.0,fk,1,poisson
2000,799.6478985549433,799.6478985549433,284.2165700580621,pinn,2,poisson
4000,564.2776946685981,564.2776946685981,44.44176124364327,fk,2,poisson
4000,810.6112115889276,810.6112115889276,18.24944629360357,pinn,2,poisson
8000,1164.171065346321,1164.171065346321,419.08064297282874,fk,2,poisson
8000,361.02597764752954,361.02597764752954,0.0,pinn,1,poisson
