N,conditioning_speedup,kappa_fk,kappa_pinn,problem
500,0.8275349865583702,20735.70572729565,17159.521960315928,met
1000,1.2656373403056957,1817.2099629333945,2299.9287842640333,met
2000,0.6736645080014241,2150.8004777276024,1448.9179456375932,met
4000,1.3592536940060296,5475.543111998445,7442.652201673157,met
8000,4.212326701332224,1091.7338664125532,4598.739716238266,met
500,0.9778223250505237,374.51147878491383,366.20568494357434,poisson
1000,3.0045881950758173,508.2234329924145,1527.002127229914,poisson
2000,3.3259004121548,240.43049985277932,799.6478985549433,poisson
4000,1.4365466139238445,564.2776946685981,810.6112115889276,poisson
8000,0.31011419918784056,1164.171065346321,361.02597764752954,poisson
