N,corr_log_loss,kappa_pl_proxy,method,problem,rate,seed
500,0.7245973556732599,1089.2942179818783,pinn,poisson,0.0009180256201604443,0
500,0.9989528645582701,386.3533415914532,fk,poisson,0.002588304260242282,0
1000,0.9989935473145167,2828.493737008218,pinn,poisson,0.00035354506425661373,0
1000,0.9964859107285549,770.7710733813516,fk,poisson,0.0012974020880324782,0
2000,0.9916253835713851,702.2340008279762,pinn,poisson,0.0014240267472394384,0
2000,0.9974058451540387,748.2612311982324,fk,poisson,0.0013364316609035649,0
500,0.9817164155459019,317.72236715381376,pinn,met,0.0031474019564882764,0
500,0.9727850792678111,7533.853792222857,fk,met,0.00013273419256321285,0
1000,0.9844662228006499,3237.064618458321,pinn,met,0.0003089218529336181,0
1000,0.9969204731005596,35647.536513071485,fk,met,2.8052429363058876e-05,0
2000,0.9852293112481836,3850.085292280035,pinn,met,0.00025973450562384717,0
2000,0.9712207387562057,591.6567796049919,fk,met,0.001690169088686232,0
