N,corr,loss0,lossT,method,problem,rate,seed,t_eps_0.1
500,0.7245973556732599,303.4664306640625,390.4928283691406,pinn,poisson,0.0009180256201604443,0,2508.1926282096797
500,0.9989528645582701,209.65887451171875,342.6961975097656,fk,poisson,0.002588304260242282,0,889.6114449769166
1000,0.9989935473145167,351.834716796875,384.4467468261719,pinn,poisson,0.00035354506425661373,0,6512.847514462144
1000,0.9964859107285549,263.4881896972656,321.5521545410156,fk,poisson,0.0012974020880324782,0,1774.7659836789198
2000,0.9916253835713851,294.445068359375,438.1471862792969,pinn,poisson,0.0014240267472394384,0,1616.9535421000664
2000,0.9974058451540387,320.5308532714844,434.35015869140625,fk,poisson,0.0013364316609035649,0,1722.9351566224211
500,0.9817164155459019,0.005127054639160633,0.002885230351239443,pinn,met,0.0031474019564882764,0,731.5827863191528
500,0.9727850792678111,0.009520486928522587,0.009156875312328339,fk,met,0.00013273419256321285,0,17347.339434769012
1000,0.9844662228006499,0.002909753704443574,0.0027422644197940826,pinn,met,0.0003089218529336181,0,7453.616735520589
1000,0.9969204731005596,0.0071410201489925385,0.007111088372766972,fk,met,2.8052429363058876e-05,0,82081.48617695936
2000,0.9852293112481836,0.0023405898828059435,0.0022213899064809084,pinn,met,0.00025973450562384717,0,8865.149000759633
2000,0.9712207387562057,0.012381515465676785,0.006944010034203529,fk,met,0.001690169088686232,0,1362.340080887318
