K,N,audit,condition,lambda_fk,rank
8,64,sine_operator,4096.000000000001,0.0,
8,64,sine_operator_fk,4054.3879908149415,1.0,
8,64,sine_operator_fk,2021.6274477781449,100.0,
11,128,sine_operator,14641.000000000013,0.0,
11,128,sine_operator_fk,14492.233256539883,1.0,
11,128,sine_operator_fk,7224.928164950443,100.0,
16,256,sine_operator,65535.999999999935,0.0,
16,256,sine_operator_fk,64870.05542809701,1.0,
16,256,sine_operator_fk,32338.440730193062,100.0,
8,64,neural_gn_pinn,364691161.6993193,0.0,8
8,64,neural_gn_fk,4344575589.811616,1.0,8
8,128,neural_gn_pinn,9042838508.578936,0.0,9
8,128,neural_gn_fk,1086275328.2028277,1.0,8
