K,N,audit,condition,epsilon,lambda_fk,predicted_gd_iters,rank
8,64,sine_operator,4096.000000000001,0.001,0.0,28291,
8,64,sine_operator_fk,4054.3879908149415,0.001,1.0,28004,
8,64,sine_operator_fk,2021.6274477781449,0.001,100.0,13962,
11,128,sine_operator,14641.000000000013,0.001,0.0,101133,
11,128,sine_operator_fk,14492.233256539883,0.001,1.0,100106,
11,128,sine_operator_fk,7224.928164950443,0.001,100.0,49905,
16,256,sine_operator,65535.999999999935,0.001,0.0,452704,
16,256,sine_operator_fk,64870.05542809701,0.001,1.0,448104,
16,256,sine_operator_fk,32338.440730193062,0.001,100.0,223383,
8,64,neural_gn_pinn,364691161.6993193,0.001,0.0,2519197309,8
8,64,neural_gn_fk,4344575589.811616,0.001,1.0,30011261879,8
8,128,neural_gn_pinn,9042838508.578936,0.001,0.0,62465705543,9
8,128,neural_gn_fk,1086275328.2028277,0.001,1.0,7503723932,8
